Name,Contact,Address,Website,Google Maps URL
EV Multi Specialist Service Centre,07385110742,"Jijai Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/EV+Multi+Specialist+Service+Centre/data=!4m7!3m6!1s0x3bc2bfafc31d88b5:0x212efa136b6261c7!8m2!3d18.5019619!4d73.7927978!16s%2Fg%2F11x64t1783!19sChIJtYgdw6-_wjsRx2FiaxP6LiE?authuser=0&hl=en&rclk=1
Free Whilly Auto,09049995410,"Shop No.1, Shubhamkaroti Apartment, Vitthal Mandir Rd, near Hotel Mirch Masala Hotel, Suvarnabaug Colony, Dahanukar Colony, Vandevi, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Free+Whilly+Auto/data=!4m7!3m6!1s0x3bc2bfc312dbae63:0x23a0c1bd0c8f610d!8m2!3d18.4937364!4d73.8136447!16s%2Fg%2F11bccgs38k!19sChIJY67bEsO_wjsRDWGPDL3BoCM?authuser=0&hl=en&rclk=1
Hindustan Auto Garage,09850048553,"Shop No. 6, Building 24 E Pashchima Nagari Society, Maharashtra 411038",,https://www.google.com/maps/place/Hindustan+Auto+Garage/data=!4m7!3m6!1s0x3bc2bf79652e2a6d:0x51367769f6edbd40!8m2!3d18.4979051!4d73.8217105!16s%2Fg%2F11rgblnsms!19sChIJbSouZXm_wjsRQL3t9ml3NlE?authuser=0&hl=en&rclk=1
Castrol Bike Point -Swamiraj Auto & Automobiles,09422504070,"Shop No: 1, Mutka Residency, DP Rd, opp. BLOCK-A, Gajanan Society, Azad Nagar, Kothrud, Pune, Maharashtra 411038",https://www.castrol.com/en_in/india/home.html,https://www.google.com/maps/place/Castrol+Bike+Point+-Swamiraj+Auto+%26+Automobiles/data=!4m7!3m6!1s0x3bc2bfc7fe38b219:0xb2877ab63b879675!8m2!3d18.5021548!4d73.8065729!16s%2Fg%2F12mkw9h5f!19sChIJGbI4_se_wjsRdZaHO7Z6h7I?authuser=0&hl=en&rclk=1
Shree Auto works,09325276618,"Shop no. 4, near, Maurya Vihar Rd, Mahatma Society, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Shree+Auto+works/data=!4m7!3m6!1s0x3bc2bf562212ff4b:0xb8f74e7d8a98337!8m2!3d18.4986867!4d73.8001081!16s%2Fg%2F11h88srf98!19sChIJS_8SIla_wjsRN4Op2Od0jws?authuser=0&hl=en&rclk=1
Konark service center/Two-Wheelers Service and EV motor bike repairing services,09960241110,"23E/14 Paschimanagari Society, Kothrud, Paschimanagri, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Konark+service+center%2FTwo-Wheelers+Service+and+EV+motor+bike+repairing+services/data=!4m7!3m6!1s0x3bc2bfe97fe1035d:0x97cb8eba0c311d2a!8m2!3d18.4979422!4d73.8213867!16s%2Fg%2F11f4r28slq!19sChIJXQPhf-m_wjsRKh0xDLqOy5c?authuser=0&hl=en&rclk=1
Arnav Automobile,09168881684,"Jagdamb Niwas, sagita hotel chowk, near magalmay traders, Gujrat Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Arnav+Automobile/data=!4m7!3m6!1s0x3bc2bfdaef1e96a3:0x9161e77c87489522!8m2!3d18.506381!4d73.8085671!16s%2Fg%2F11t3txzv45!19sChIJo5Ye79q_wjsRIpVIh3znYZE?authuser=0&hl=en&rclk=1
Patil Auto Services,09890979015,"GR45+844 Patil Auto Service, Gujrat Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Patil+Auto+Services/data=!4m7!3m6!1s0x3bc2bfb9c67d60c7:0x554f0e7ac9837e66!8m2!3d18.5057619!4d73.8078217!16s%2Fg%2F1hjgxcmp5!19sChIJx2B9xrm_wjsRZn6DyXoOT1U?authuser=0&hl=en&rclk=1
Shri Sai Automobile Garage,09049451210,"86/1, azadwadi, near bus stopthobare building, Shastri Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Shri+Sai+Automobile+Garage/data=!4m7!3m6!1s0x3bc2bfb7aac6df9b:0x62acf6771a140e83!8m2!3d18.504458!4d73.8043784!16s%2Fg%2F11cly7l63t!19sChIJm9_Gqre_wjsRgw4UGnf2rGI?authuser=0&hl=en&rclk=1
Swami om Auto & Automobile,07263802300,"Shop no. 1 Nav-vaishali gruha rachna santha maryadit, Mantri park road, near natraj gas, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Swami+om+Auto+%26+Automobile/data=!4m7!3m6!1s0x3bc2bf3753a6e283:0x9a7ee6e83dadce0!8m2!3d18.500175!4d73.8130282!16s%2Fg%2F11wqs6vrdm!19sChIJg-KmUze_wjsR4Nzag27upwk?authuser=0&hl=en&rclk=1
